case	method	iteration	relative_true_residual
community-depth-4	diagonal	9	9.791689692873e-4
community-depth-4	diagonal	10	1.861462667339e-3
community-depth-4	diagonal	11	7.221203674507e-4
community-depth-4	diagonal	12	1.117496320621e-4
community-depth-4	diagonal	13	2.050755254104e-5
community-depth-4	diagonal	14	4.781578477394e-6
community-depth-4	diagonal	15	9.096478383907e-7
community-depth-4	diagonal	16	1.323494323666e-7
community-depth-4	diagonal	17	1.711384941187e-8
community-depth-4	diagonal	18	2.404140550709e-9
community-depth-4	diagonal	19	1.335606294913e-9
community-depth-4	diagonal	20	2.406357284777e-10
community-depth-4	diagonal	21	5.242092494315e-11
community-depth-4	symmetric-map	0	1.000000000000e0
community-depth-4	symmetric-map	1	3.054574341963e-2
community-depth-4	symmetric-map	2	1.095803507352e-2
community-depth-4	symmetric-map	3	6.158667705522e-3
community-depth-4	symmetric-map	4	7.801001346630e-4
community-depth-4	symmetric-map	5	1.288606003155e-3
community-depth-4	symmetric-map	6	7.803672818249e-5
community-depth-4	symmetric-map	7	2.764957341815e-6
community-depth-4	symmetric-map	8	4.513800361871e-8
community-depth-4	symmetric-map	9	4.735310301649e-10
community-depth-4	symmetric-map	10	7.667085782062e-12
community-depth-4	pair-cmg	0	1.000000000000e0
community-depth-4	pair-cmg	1	1.336349152541e-1
community-depth-4	pair-cmg	2	1.660404819380e-2
community-depth-4	pair-cmg	3	2.193665111796e-3
community-depth-4	pair-cmg	4	3.819912664739e-4
community-depth-4	pair-cmg	5	1.143027301082e-4
community-depth-4	pair-cmg	6	1.506823210425e-5
community-depth-4	pair-cmg	7	1.909367926913e-6
community-depth-4	pair-cmg	8	1.756151072945e-7
community-depth-4	pair-cmg	9	1.558380571355e-8
community-depth-4	pair-cmg	10	1.695541471073e-9
community-depth-4	pair-cmg	11	2.143673660577e-10
community-depth-4	pair-cmg	12	1.713489869039e-11
community-depth-4	oracle-jacobi	0	1.000000000000e0
community-depth-4	oracle-jacobi	1	2.116695596512e-2
community-depth-4	oracle-jacobi	2	2.434361671870e-3
community-depth-4	oracle-jacobi	3	1.987235794327e-4
community-depth-4	oracle-jacobi	4	2.323437771334e-5
community-depth-4	oracle-jacobi	5	2.268734996897e-6
community-depth-4	oracle-jacobi	6	2.367547401612e-7
community-depth-4	oracle-jacobi	7	2.158797206414e-8
community-depth-4	oracle-jacobi	8	2.131550134667e-9
community-depth-4	oracle-jacobi	9	1.946408455936e-10
community-depth-4	oracle-jacobi	10	2.061525882789e-11
community-depth-4	oracle-pair-finest	0	1.000000000000e0
community-depth-4	oracle-pair-finest	1	9.026673158205e-4
community-depth-4	oracle-pair-finest	2	2.808101190484e-6
community-depth-4	oracle-pair-finest	3	6.169178959215e-9
community-depth-4	oracle-pair-finest	4	1.274715713760e-11
community-depth-4	oracle-pair-first-two	0	1.000000000000e0
community-depth-4	oracle-pair-first-two	1	5.878811416387e-4
community-depth-4	oracle-pair-first-two	2	1.299391274655e-6
community-depth-4	oracle-pair-first-two	3	2.462886643936e-9
community-depth-4	oracle-pair-first-two	4	5.696887076188e-12
community-depth-4	oracle-pair-all-levels	0	1.000000000000e0
community-depth-4	oracle-pair-all-levels	1	5.836625892723e-4
community-depth-4	oracle-pair-all-levels	2	1.282352897530e-6
community-depth-4	oracle-pair-all-levels	3	2.406403192717e-9
community-depth-4	oracle-pair-all-levels	4	5.533278598071e-12
community-depth-4	oracle-map-all-levels	0	1.000000000000e0
community-depth-4	oracle-map-all-levels	1	1.599627677726e-4
community-depth-4	oracle-map-all-levels	2	5.472271399480e-8
community-depth-4	oracle-map-all-levels	3	3.372249772077e-11
weak-chain-depth-5	diagonal	0	1.000000000000e0
weak-chain-depth-5	diagonal	1	5.585073064109e-1
weak-chain-depth-5	diagonal	2	1.153242437971e-1
weak-chain-depth-5	diagonal	3	2.962461335116e-2
weak-chain-depth-5	diagonal	4	8.997442043696e-3
weak-chain-depth-5	diagonal	5	8.628079809028e-3
weak-chain-depth-5	diagonal	6	7.486881067861e-3
weak-chain-depth-5	diagonal	7	1.598125164860e-2
weak-chain-depth-5	diagonal	8	7.050362449071e-3
weak-chain-depth-5	diagonal	9	1.270323030911e-3
weak-chain-depth-5	diagonal	10	2.019087520545e-4
weak-chain-depth-5	diagonal	11	3.935248348993e-5
weak-chain-depth-5	diagonal	12	2.027227521715e-5
weak-chain-depth-5	diagonal	13	4.081043917124e-5
weak-chain-depth-5	diagonal	14	4.260979477537e-5
weak-chain-depth-5	diagonal	15	9.604528395302e-6
weak-chain-depth-5	diagonal	16	1.390052636527e-6
weak-chain-depth-5	diagonal	17	1.632302052640e-7
weak-chain-depth-5	diagonal	18	2.011744158972e-8
