set	case	family	requested_seed	actual_seed	structural_skips	method	accepted	structural_admissible	selected_source	structural_baseline_selected	exact_oracle_partition	oracle_pair_recall	wrong_pair_count	fine_dimension	fine_tuples	coarse_dimension	coarse_tuples	coarse_dimension_ratio	tuple_reduction	two_level_tuple_complexity	compatible_diagonal_factor	compatible_energy_factor	baseline_map_condition	oracle_two_grid_condition	candidate_condition	oracle_improvement_recovered	pcg_iterations	pcg_converged	pcg_final_relative_residual	pcg_gramian_applications	pcg_preconditioner_applications	bootstrap_rounds	bootstrap_witnesses	repair_splits	candidate_pairs_generated	candidate_pairs_retained	retained_test_vector_bytes	retained_report_bytes_estimate	stop_reason
holdout	dominant-pair-weak-third-cover-512	dominant-pair-weak-third	512	512	0	oracle	true	true	oracle-reference	false	true	1.000000000000e0	0	36	144	18	72	5.000000000000e-1	5.000000000000e-1	1.500000000000e0	8.460315063451e-1	7.967224183918e-1	2.787874445195e1	NA	1.531596335672e0	NA	8	true	3.521784934565e-11	16	8	0	0	0	0	0	0	0	
holdout	dominant-pair-weak-third-cover-512	dominant-pair-weak-third	512	512	0	baseline-symmetric-map	true	true	baseline	false	false	0.000000000000e0	0	36	144	0	0	0.000000000000e0	0.000000000000e0	1.000000000000e0	NA	NA	2.787874445195e1	1.531596335672e0	2.787874445195e1	0.000000000000e0	13	true	4.971303526646e-11	26	13	0	0	0	0	0	0	0	baseline
holdout	dominant-pair-weak-third-cover-512	dominant-pair-weak-third	512	512	0	one-shot-pair-neighborhood	true	true	structural-baseline	false	false	1.666666666667e-1	15	36	144	18	117	5.000000000000e-1	1.875000000000e-1	1.812500000000e0	6.853026782857e-1	6.666483997812e-1	2.787874445195e1	1.531596335672e0	1.290571874303e0	1.009148028481e0	8	true	1.793457982996e-12	16	8	0	0	0	0	0	0	0	
holdout	dominant-pair-weak-third-cover-512	dominant-pair-weak-third	512	512	0	bootstrap-initial	true	true	relaxed-signature-initial	false	false	5.555555555556e-2	17	36	144	18	112	5.000000000000e-1	2.222222222222e-1	1.777777777778e0	7.594738009791e-1	7.363066709763e-1	2.787874445195e1	1.531596335672e0	1.130942110077e1	6.288848902375e-1	9	true	1.725915180268e-12	18	9	0	0	0	0	0	0	0	
holdout	dominant-pair-weak-third-cover-512	dominant-pair-weak-third	512	512	0	bootstrap-final	true	true	relaxed-signature-initial	false	false	5.555555555556e-2	17	36	144	18	112	5.000000000000e-1	2.222222222222e-1	1.777777777778e0	7.594738009791e-1	7.363066709763e-1	2.787874445195e1	1.531596335672e0	1.130942110077e1	6.288848902375e-1	9	true	1.725915180268e-12	18	9	1	0	0	198	191	1152	25616	AcceptedInitial
holdout	dominant-pair-weak-third-cover-513	dominant-pair-weak-third	513	513	0	oracle	false	true	oracle-reference	false	true	1.000000000000e0	0	36	144	18	72	5.000000000000e-1	5.000000000000e-1	1.500000000000e0	8.521781322331e-1	7.912353162495e-1	2.789617391922e1	NA	1.913376817400e0	NA	8	true	4.253994535318e-11	16	8	0	0	0	0	0	0	0	
holdout	dominant-pair-weak-third-cover-513	dominant-pair-weak-third	513	513	0	baseline-symmetric-map	true	true	baseline	false	false	0.000000000000e0	0	36	144	0	0	0.000000000000e0	0.000000000000e0	1.000000000000e0	NA	NA	2.789617391922e1	1.913376817400e0	2.789617391922e1	0.000000000000e0	13	true	5.721572029009e-11	26	13	0	0	0	0	0	0	0	baseline
holdout	dominant-pair-weak-third-cover-513	dominant-pair-weak-third	513	513	0	one-shot-pair-neighborhood	true	true	structural-baseline	false	false	0.000000000000e0	18	36	144	18	111	5.000000000000e-1	2.291666666667e-1	1.770833333333e0	6.658406156057e-1	6.512010992273e-1	2.789617391922e1	1.913376817400e0	8.785921322312e0	7.354963563784e-1	9	true	3.537910461377e-13	18	9	0	0	0	0	0	0	0	
holdout	dominant-pair-weak-third-cover-513	dominant-pair-weak-third	513	513	0	bootstrap-initial	true	true	relaxed-signature-initial	false	false	0.000000000000e0	18	36	144	18	108	5.000000000000e-1	2.500000000000e-1	1.750000000000e0	7.930921146951e-1	7.513243738083e-1	2.789617391922e1	1.913376817400e0	1.181492496165e1	6.189190830593e-1	9	true	6.340558203970e-12	18	9	0	0	0	0	0	0	0	
holdout	dominant-pair-weak-third-cover-513	dominant-pair-weak-third	513	513	0	bootstrap-final	true	true	relaxed-signature-initial	false	false	0.000000000000e0	18	36	144	18	108	5.000000000000e-1	2.500000000000e-1	1.750000000000e0	7.930921146951e-1	7.513243738083e-1	2.789617391922e1	1.913376817400e0	1.181492496165e1	6.189190830593e-1	9	true	6.340558203970e-12	18	9	1	0	0	198	190	1152	25616	AcceptedInitial
